artist,title,link
AC/DC,Back In Black,https://www.youtube.com/watch?v=2-fR2rrmw3I
Agitator,Mental Violence,https://www.youtube.com/watch?v=yXrF0_hoeCA
All That Remains,Overcome,https://youtube.com/playlist?list=PL188FE1A560B2A862
All That Remains,The Fall of Ideals,https://youtu.be/iEi8q-lGByY
Alpha Wolf,A Quiet Place to Die,https://www.youtube.com/playlist?list=PLCKp_J1GOMgB6ET77QRqfcZMU0iBJrmHf
Amon Amarth,Jomsviking,https://www.youtube.com/watch?v=1WsQEsfZNco
Animals as Leaders,Parrhesia,https://youtube.com/playlist?list=OLAK5uy_mpowo9JKkEbG9YOyFjV_6_J3czWDK0By8
Annihilator,Carnival Diablos,https://youtu.be/geWSgKCrQ-8
Annihilator,Criteria for a Black Widow,https://www.youtube.com/watch?v=TjZwd1CtpHs
Annihilator,King of the Kill,https://www.youtube.com/watch?v=o0-U7A4gLWc
Annihilator,Metal,https://www.youtube.com/watch?v=q9PlPdmX9fE
Arch Enemy,Doomsday Machine,https://www.youtube.com/watch?v=naElQtYgmn4
Arch Enemy,War Eternal,https://www.youtube.com/watch?v=GGNW2AMAqgo
Archspire,Relentless Mutation,https://youtu.be/oiY4zwcjt-s
As I Lay Dying,An Ocean Between Us,https://www.youtube.com/watch?v=T9TtmYCPCLU
Aspherium,The Embers of Eternity,https://www.youtube.com/watch?v=f8hc3odWo5k
At The Gates,Slaughter Of The Soul [Bonus Tracks],https://www.youtube.com/watch?v=614OdhFLUUU
Atreyu,Lead Sails Paper Anchor,https://www.youtube.com/playlist?list=PLGgnHmeNUuW2pKomhI0CaNGUkWOdKgazt
Avenged Sevenfold,City of Evil,https://www.youtube.com/watch?v=DVDHXx_cIu8
Born Of Osiris,The Simulation,https://www.youtube.com/playlist?list=PLY1a1INoMkeidlhbxV75cneqhMJLvOOAh
Chimp Spanner,At the Dream's Edge,https://youtube.com/playlist?list=PLLVeC2nHZ9w0u7qcsSspMLpCgE8rk94o0
Couldkicker,The Discovery,https://www.youtube.com/watch?v=WVM603q6b1w
Damned Spring Fragrantia,Divergences,https://youtu.be/V63RUKAC2FA
Death,The Sound Of Perseverance,https://www.youtube.com/watch?v=XjB101k2Bog
Deep Purple,Machine Head,https://www.youtube.com/watch?v=hMCVe0cs4DI
Dethklok,The Dethalbum,https://www.youtube.com/watch?v=s3HYrXaWPGo
Dimmu Borgir,Puritanical Euphoric Misanthropia,https://www.youtube.com/watch?v=lTJg4P1zo4E
Dio,Holy Diver,https://www.youtube.com/watch?v=f_T8v8imSV4
Dream Theater,Images And Words,https://www.youtube.com/watch?v=GxCCTxbaxhU
DreamKid,Daggers,https://dreamkid83.bandcamp.com/album/daggers
Dukkha,Remanence,https://youtube.com/playlist?list=OLAK5uy_lKPpDd56aVwIQAmMSRyvdulw2FkNh7onE
Enterprise Earth,The Chosen,https://youtube.com/playlist?list=OLAK5uy_n13aY2Gw6hojMZpFj5MzMvh_47Nlt54BQ
Everything Yes,Volume I,https://youtube.com/playlist?list=OLAK5uy_ngf2DVT4HBU_k8rQxtTwILPJyotxYQYBA
Extreme,Pornograffitti,https://www.youtube.com/watch?v=OVwEKr38MzQ
Fleshgod Apocalypse,King,https://www.youtube.com/watch?v=hJ8sErDmJ8k
Giacomo Toni,Nafta,https://www.youtube.com/playlist?list=PLR5-ZzXZIhpI1Cfxk_xlwpIPiMgmdSG9F
Guns N' Roses,Appetite For Destruction,https://www.youtube.com/watch?v=KO5ad84UixQ
Haken,The Mountain,https://www.youtube.com/watch?v=0FyHXlBsZbs
Haken,Visions,https://www.youtube.com/watch?v=DO61NWKkyWQ
I Built The Sky,The Zenith Rise,https://www.youtube.com/watch?v=w3WIa_Z35p0
Ihsahn,Amr,https://www.youtube.com/watch?v=cqqv24yGoeo
In Flames,The Jester Race (Reissue 2014),https://www.youtube.com/watch?v=3qydyLXGnZU
Intervals,Circadian,https://www.youtube.com/watch?v=KhL4lK3uoYo
Intervals,Memory Palace,https://youtube.com/playlist?list=PLuj-WzKNCr785EnREjtZAuZo-NKoYejwk
Jason Kui,Naka,https://jasonkui.bandcamp.com/album/naka
Joe Satriani,Surfing With The Alien,https://www.youtube.com/watch?v=sm0j33oxav4
Joe Satriani,The Extremist,https://www.youtube.com/watch?v=0Bg8oo7PZVY
John Petrucci,Suspended Animation,https://www.youtube.com/watch?v=IUj6nDs_Mqg
Judas Priest,Painkiller,https://youtube.com/playlist?list=PL6ogdCG3tAWjnVY04Ic42nh6s4tVXAAM6
Kadinja,Ascendancy,https://www.youtube.com/watch?v=sWlkFqOYnko
Killswitch Engage,Alive Or Just Breathing,https://www.youtube.com/watch?v=BOu3bAYxYAA
Kreator,Enemy Of God,https://www.youtube.com/watch?v=vutytgFZ7W0
