artist,title,price,status,link
Animate the:end,Anomalous,Free,Digital Only,https://youtu.be/TVIdVhq40o0
Anup Sastry,Bloom,£3,Digital Only,https://youtube.com/playlist?list=OLAK5uy_mZcvkvIwPfHR-lEz_t9cSl-VMhs3GT800
Anup Sastry,Lion,£3,Digital Only,https://anupsastry.bandcamp.com/album/lion
Anup Sastry,Titan,£3,Digital Only,https://anupsastry.bandcamp.com/album/titan
Arch Echo,You Wan't Believe What Happens Next!,$10,Purchased,https://youtube.com/playlist?list=OLAK5uy_lnF3h2kmzBMUCYz-KQjyRvPmNZznvWP5s
As Beings,The Path That Defined Me,Free,Digital Only,https://asbeings.bandcamp.com/album/the-path-that-defined-me
Ascend the Helix,Spiral of Reflection,$10,Digital Only,https://www.youtube.com/playlist?list=OLAK5uy_nDqZgJGiWUHBqVYfEOgeegAECXrTGKY9E
Before I Turn,Claustrophobic,???,Digital Only,https://www.youtube.com/watch?v=7zrx_avIvpY
Bottled Science,The Machinations of Dementia,$8.99,Digital Only,https://www.youtube.com/playlist?list=OLAK5uy_n5EN67Nl-_Fcozu3simWaeZT35G1b2c9M
Car Bomb,Meta,???,,https://www.ebay.co.uk/itm/358740768855
Car Bomb,Tiles Whisper Dreams,£20,,https://carbomb.bandcamp.com/album/tiles-whisper-dreams-ep
Daniel Weiss,The Vortex,$7,Digital Only,https://danielweiss.bandcamp.com/album/the-vortex
Dezolve,Biblion,£35,,https://store.kingrecords.co.jp/shop/g/gKICJ-885/
Ever Forthright,Ever Forthright,$6,Digital Only,https://everforthright.bandcamp.com/album/ever-forthright
Everything Yes,Volume 2,???,Digital Only,https://youtube.com/playlist?list=OLAK5uy_k0U4XuGE1GD7F1S547fvhhXI98wnUSneA&si=964ZUIsNLclURR1x
Frontières,La trilogie,£12,Digital Only,https://frontieres.bandcamp.com/album/la-trilogie
Gorod,The Orb,£16,,https://www.amazon.co.uk/Orb-Ltd-Digisleeve-Gorod/dp/B0BVFWZ272
Grapefruit Astronaut,Swan Puddle,???,Digital Only,https://www.youtube.com/playlist?list=OLAK5uy_lbhcMWehJSIcdn2WpYlkDqUG5HhFTwQoI
HAAMOJA,Natural Evolution,$10,Digital Only,https://youtu.be/MoJTemOjaw0
Hidden Machine,Unlimited,$5,Digital Only,https://hiddenmachineofficial.bandcamp.com/album/unlimited
